executionId,originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId
execution-404d0983-1296-448a-a3c3-0246d2de347d-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,370,,,,0,12039,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom04[worker-71c76da1-8eaa-4e9f-964e-7305d6035126-2023.08.14]
execution-4235d2f0-eafd-4bb4-9f19-e03bbc5c9912-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,146,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom01[worker-79dfe9a7-9e70-4a22-86b7-fb7f8be3bfe2-2023.08.14]
execution-4690a8a4-732d-4a8f-97cf-88cf77239e7e-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,318,,,,0,6633,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom06[worker-fbe91e0e-dfc5-495b-bd89-e056d9ecd6bf-2023.08.14]
execution-6e96dcbd-19db-4b75-a893-9ffbf322c0ae-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_GET_ConsumptionImprovements,7ed299d1-2f19-486e-8c35-577ba62ed504,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,208,,,,0,5041,3471bb8c-264c-414c-84e4-e858b0ebf22e,apim-azure,atom06[worker-fbe91e0e-dfc5-495b-bd89-e056d9ecd6bf-2023.08.14]
execution-c311d049-b795-4e2e-8279-55a2a2e4e36f-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener,MMI_CLOUD_QUALTRICS_CVM,f3978fbb-5c02-498c-a800-61c22ad26811,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,591,,,,0,476,6f4a3eb6-f979-4c70-aab7-663f1edc24c8,apim-azure,atom05[worker-c974de65-8269-4310-a6fc-fa8c7569386d-2023.08.14]
execution-c4cd6243-22a1-4de2-bbe2-0c3bd93bc7a2-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener,MMI_CLOUD_PRESA_APPUNTAMENTO,db7f8479-8f67-487f-95f3-766474080098,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,664,,,,0,0,6796711f-c80d-4bdb-aa9a-8dab979a8f74,apim-azure,atom02[worker-532f66a4-ce30-4eec-b910-454f053695fb-2023.08.14]
execution-fd365131-9d11-4c06-a68e-f2d247f2bab9-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,378,,,,0,12072,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom04[worker-71c76da1-8eaa-4e9f-964e-7305d6035126-2023.08.14]
execution-08451152-d273-4fb3-ac2d-d5a8fbfe2e82-2023.08.15,,eonitalyspa-AEYI78,20230814 200012.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,296,,,,0,5460,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-3e4df45f-758c-4bed-ba25-4f91319f0d65-2023.08.15,,eonitalyspa-AEYI78,20230814 200012.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,304,,,,0,2751,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom02[worker-532f66a4-ce30-4eec-b910-454f053695fb-2023.08.14]
execution-90ca384a-0110-4e12-95b5-3737634ed8e0-2023.08.15,,eonitalyspa-AEYI78,20230814 200012.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,271,,,,0,2751,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-79dfe9a7-9e70-4a22-86b7-fb7f8be3bfe2-2023.08.14]
