environmentId,processId,processName,packageId,componentType
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,24b11e35-8f7b-4914-8e07-e6a7485243b5,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,d7a19191-db95-410d-8c25-66a902db394d,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,47683557-dacb-463f-a133-4eaf90d4501c,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,19b8a1b8-d043-451b-baf7-b538dff852ce,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,b3a4b9c5-0ffb-4970-938f-ebc1fa9714c9,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,4071cb11-5456-4cbd-88e5-8a906e2d101c,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,2d18c35e-f6fb-47f0-8f1e-4a5bf3d56b12,process
497b3021-ef13-4e59-93b8-f30e245a317a,1164db01-a240-4781-b777-9143574245fc,HNK_HU_PRC_05360_SAP_NAV_NewTaxLegislation_InvoiceData,c0cf5fe1-9a71-458b-b288-18de606b533b,process
497b3021-ef13-4e59-93b8-f30e245a317a,d099fd29-88be-47b6-a01c-da0b9ef3734c,HNK_HU_PRC_05370_SAP_NAV_NewTaxLegislation_ManageInvoice,b2c72e4e-dc7d-4e02-a853-aa51acb255a8,process
497b3021-ef13-4e59-93b8-f30e245a317a,07885e8a-3df5-44e6-98ad-f38b48419bb7,HNK_HU_PRC_05380_SAP_NAV_NewTaxLegislation_InvoiceStatus,4d94f447-e22e-4d02-ab0a-04199dda181e,process
497b3021-ef13-4e59-93b8-f30e245a317a,cfe1c35a-7ea1-420e-b498-c5be04651a19,HNK_HU_PRC_05390_SAP_TaxLegislation_TokenExchange,0169acb2-14f3-4f09-948a-3c6d16d20f69,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,e4cd7117-3087-4ca5-8d0e-1ecaa102eacc,process
497b3021-ef13-4e59-93b8-f30e245a317a,9248586a-fd1f-4cda-b912-ffd46dda4114,HNK_GLO_PRC_05450_SRM_SPINQUE_GetContracts,8e123464-bccb-471b-9077-5d8f10712580,process
497b3021-ef13-4e59-93b8-f30e245a317a,9fc5e13c-b557-48be-bd6b-154a5033f338,HNK_GLO_PRC_05460_SRM_Spinque_Contracts_Put,29f1971f-3781-4242-a4de-66e4f7b06985,process
497b3021-ef13-4e59-93b8-f30e245a317a,893ac37a-5186-45fc-9aa3-ba8b32124293,HNK_HZA_PR_08290_Main_ProductStockUpdate,25912ece-4b91-462e-b492-6a6e6d45ce8c,process
