originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId,is_outlier,is_outliertxt,nodeIdtxt,executionId
0.0,eonitalyspa-AEYI78,2023-08-17 07:30:31,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,6772.0,0,0,0,1002.0,1847.0,0,0,atom06[execution-767b3d87-a0fa-47cf-8cd1-eee045c35915-2023.08.17],red,red,atom06,2023-08-17 07:30:31
0.0,eonitalyspa-AEYI78,2023-08-17 07:30:37,COMPLETE,exec_listener_bridge,MMI_DVC_RLT_SMR,d9440076-4f75-4230-8f12-77337487a437,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,9288.0,0,0,0,305.0,969.0,a04d7436-4a3b-4e0d-b78c-0592f7eff6d0,apim-azure,atom01[worker-aa3d10c4-a2ff-4886-99f3-5ad2eb171625-2023.08.17],red,red,atom01,2023-08-17 07:30:37
0.0,eonitalyspa-AEYI78,2023-08-17 07:30:39,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5306.0,0,0,0,173.0,672.0,0,0,atom04[execution-9e743d39-7af5-424a-b9a4-1d1244d9e411-2023.08.17],red,red,atom04,2023-08-17 07:30:39
0.0,eonitalyspa-AEYI78,2023-08-17 07:30:48,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,8052.0,0,0,0,1021.0,1869.0,0,0,atom06[execution-aba11167-1da7-4c20-823d-e6b47df4b19c-2023.08.17],red,red,atom06,2023-08-17 07:30:48
0.0,eonitalyspa-AEYI78,2023-08-17 07:31:00,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,7158.0,0,0,0,1002.0,1844.0,0,0,atom04[execution-cee1383b-3980-4324-832d-5027d62098b1-2023.08.17],red,red,atom04,2023-08-17 07:31:00
0.0,eonitalyspa-AEYI78,2023-08-17 07:31:57,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,9064.0,0,0,0,262.0,291310.0,0,0,atom05[execution-d975c194-44ae-4250-a844-fefe7a5b32a6-2023.08.17],red,red,atom05,2023-08-17 07:31:57
0.0,eonitalyspa-AEYI78,2023-08-17 07:32:01,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,8778.0,0,0,0,262.0,291286.0,0,0,atom06[execution-af00d78e-a3a2-4d76-aed9-fa8750e04844-2023.08.17],red,red,atom06,2023-08-17 07:32:01
0.0,eonitalyspa-AEYI78,2023-08-17 07:32:05,COMPLETE,exec_listener,MMI_CLOUD_DISCO_HUB,e23981ff-d8bf-4d49-b0d2-0fcafba68c90,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,8787.0,0,0,0,1002.0,1844.0,0,0,atom06[execution-3269ee86-144d-41ee-a656-06da8f8a3583-2023.08.17],red,red,atom06,2023-08-17 07:32:05
0.0,eonitalyspa-AEYI78,2023-08-17 07:32:08,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5534.0,0,0,0,173.0,672.0,0,0,atom05[execution-0ebbdd6f-1199-404f-947f-3ad41af250fd-2023.08.17],red,red,atom05,2023-08-17 07:32:08
0.0,eonitalyspa-AEYI78,2023-08-17 07:32:12,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5130.0,0,0,0,173.0,672.0,0,0,atom01[execution-630675a6-ee6c-4cc7-b056-e0584d48b30f-2023.08.17],red,red,atom01,2023-08-17 07:32:12
